{time: 1729092042623, bid: 5825.631, ask: 5826.151, mid: 5825.891000}
{time: 1729092043378, bid: 5825.526, ask: 5826.04, mid: 5825.783000}
{time: 1729092047308, bid: 5825.513, ask: 5826.039, mid: 5825.776000}
{time: 1729092052121, bid: 5825.741, ask: 5826.258, mid: 5825.999500}
{time: 1729092053725, bid: 5825.512, ask: 5826.017, mid: 5825.764500}
{time: 1729092056733, bid: 5825.75, ask: 5826.264, mid: 5826.007000}
{time: 1729092057205, bid: 5825.506, ask: 5826.011, mid: 5825.758500}
{time: 1729092060269, bid: 5825.019, ask: 5825.53, mid: 5825.274500}
{time: 1729092063878, bid: 5825.257, ask: 5825.777, mid: 5825.517000}
{time: 1729092067920, bid: 5825.509, ask: 5826.029, mid: 5825.769000}
{time: 1729092069423, bid: 5825.491, ask: 5826.011, mid: 5825.751000}
{time: 1729092071780, bid: 5825.744, ask: 5826.264, mid: 5826.004000}
{time: 1729092074039, bid: 5825.997, ask: 5826.514, mid: 5826.255500}
{time: 1729092074847, bid: 5825.759, ask: 5826.264, mid: 5826.011500}
{time: 1729092076100, bid: 5825.994, ask: 5826.508, mid: 5826.251000}
{time: 1729092079811, bid: 5825.747, ask: 5826.264, mid: 5826.005500}
{time: 1729092081685, bid: 5825.756, ask: 5826.27, mid: 5826.013000}
{time: 1729092082637, bid: 5825.519, ask: 5826.027, mid: 5825.773000}
{time: 1729092085496, bid: 5825.254, ask: 5825.783, mid: 5825.518500}
{time: 1729092086198, bid: 5825.001, ask: 5825.527, mid: 5825.264000}
{time: 1729092089654, bid: 5824.766, ask: 5825.271, mid: 5825.018500}
{time: 1729092090957, bid: 5824.754, ask: 5825.286, mid: 5825.020000}
{time: 1729092093966, bid: 5824.817, ask: 5825.223, mid: 5825.020000}
{time: 1729092096132, bid: 5824.517, ask: 5825.043, mid: 5824.780000}
{time: 1729092099537, bid: 5824.032, ask: 5824.537, mid: 5824.284500}
{time: 1729092105801, bid: 5823.776, ask: 5824.296, mid: 5824.036000}
{time: 1729092107981, bid: 5823.761, ask: 5824.233, mid: 5823.997000}
{time: 1729092108736, bid: 5823.779, ask: 5824.281, mid: 5824.030000}
{time: 1729092112050, bid: 5823.53, ask: 5824.053, mid: 5823.791500}
{time: 1729092116057, bid: 5823.524, ask: 5823.993, mid: 5823.758500}
{time: 1729092117363, bid: 5823.274, ask: 5823.8, mid: 5823.537000}
{time: 1729092119294, bid: 5823.042, ask: 5823.544, mid: 5823.293000}
{time: 1729092121953, bid: 5822.78, ask: 5823.309, mid: 5823.044500}
{time: 1729092123558, bid: 5822.299, ask: 5822.753, mid: 5822.526000}
{time: 1729092125929, bid: 5822.293, ask: 5822.804, mid: 5822.548500}
{time: 1729092127634, bid: 5822.034, ask: 5822.557, mid: 5822.295500}
{time: 1729092130001, bid: 5821.857, ask: 5822.263, mid: 5822.060000}
{time: 1729092131255, bid: 5822.04, ask: 5822.551, mid: 5822.295500}
{time: 1729092133360, bid: 5822.043, ask: 5822.551, mid: 5822.297000}
{time: 1729092136124, bid: 5821.809, ask: 5822.323, mid: 5822.066000}
{time: 1729092138102, bid: 5821.809, ask: 5822.329, mid: 5822.069000}
{time: 1729092140811, bid: 5821.309, ask: 5821.814, mid: 5821.561500}
{time: 1729092142920, bid: 5821.424, ask: 5821.959, mid: 5821.691500}
{time: 1729092144075, bid: 5821.357, ask: 5821.823, mid: 5821.590000}
{time: 1729092146733, bid: 5821.803, ask: 5822.317, mid: 5822.060000}
{time: 1729092148309, bid: 5822.056, ask: 5822.558, mid: 5822.307000}
{time: 1729092150766, bid: 5822.044, ask: 5822.567, mid: 5822.305500}
{time: 1729092156930, bid: 5821.911, ask: 5822.446, mid: 5822.178500}
{time: 1729092158385, bid: 5821.791, ask: 5822.323, mid: 5822.057000}
{time: 1729092162913, bid: 5821.367, ask: 5821.773, mid: 5821.570000}
{time: 1729092168725, bid: 5821.247, ask: 5821.704, mid: 5821.475500}
{time: 1729092170579, bid: 5820.816, ask: 5821.318, mid: 5821.067000}
